mid,gid
tt0102138,8
tt0102138,13
tt0102138,24
tt0756683,8
tt0756683,10
tt0756683,21
tt0049261,8
tt0049261,26
tt0091605,6
tt0091605,8
tt0091605,17
tt0091605,24
tt1216496,6
tt1216496,8
tt1216496,24
tt0093409,1
tt0093409,6
tt0093409,24
tt0067093,8
tt0067093,9
tt0067093,16
tt0067093,20
tt0077928,4
tt0077928,6
tt0077928,8
tt0077928,24
tt0101921,8
tt0383028,5
tt0383028,8
tt0986264,8
tt0986264,9
tt0106856,6
tt0106856,8
tt0106856,24
tt0087544,3
tt0087544,2
tt0087544,10
tt0087544,21
tt0050825,8
tt0050825,25
tt0059113,8
tt0059113,20
tt0059113,25
tt0156887,3
tt0156887,14
tt0156887,17
tt0156887,24
tt0044706,8
tt0044706,24
tt0044706,26
tt0089881,1
tt0089881,8
tt0089881,25
tt0029583,3
tt0029583,9
tt0029583,10
tt0029583,16
tt0029583,20
tt4468740,2
tt4468740,5
tt4468740,9
tt4468740,10
tt0765443,1
tt0765443,6
tt0765443,8
tt0765443,24
tt0046912,6
tt0046912,24
tt1954470,1
tt1954470,6
tt1954470,8
tt1954470,24
tt0053604,5
tt0053604,8
tt0053604,20
tt2758880,8
tt5323662,3
tt5323662,8
tt5323662,9
tt5323662,20
tt0052561,6
tt0052561,8
tt0052561,17
tt0052561,24
tt1365050,8
tt1365050,25
tt0053198,6
tt0053198,8
tt0083987,4
tt0083987,8
tt0083987,13
tt0056197,1
tt0056197,8
tt0056197,13
tt0056197,25
tt0040746,6
tt0040746,8
